company_name;total_emissions;total_emissions_year;emissions_category_name;emissions_category_amount;emissions_category_hover
Andros;2327352;2019;Sc. 1 & 2 - Own emissions,Sc.3 - Suppliers,Sc.3 - Logistics,Sc.3 - Packaging,Sc.3 - Use of product,Others;0.05,0.4,0.15,0.1,0.25,0.05;Hover text cat 1,Hover text cat2,Hover text cat 3,Hover text cat 4,Hover text cat 5,Hover text cat 6
Associated British Foods (alim.);2327352;2019;Sc. 1 & 2 - Own emissions,Sc.3 - Suppliers,Sc.3 - Logistics,Sc.3 - Packaging,Sc.3 - Use of product,Others;0.05,0.4,0.15,0.1,0.25,0.05;Hover text cat 1,Hover text cat2,Hover text cat 3,Hover text cat 4,Hover text cat 5,Hover text cat 6
Bel;2327352;2019;Sc. 1 & 2 - Own emissions,Sc.3 - Suppliers,Sc.3 - Logistics,Sc.3 - Packaging,Sc.3 - Use of product,Others;0.05,0.4,0.15,0.1,0.25,0.05;Hover text cat 1,Hover text cat2,Hover text cat 3,Hover text cat 4,Hover text cat 5,Hover text cat 6
Danone;2327352;2019;Sc. 1 & 2 - Own emissions,Sc.3 - Suppliers,Sc.3 - Logistics,Sc.3 - Packaging,Sc.3 - Use of product,Others;0.05,0.4,0.15,0.1,0.25,0.05;Hover text cat 1,Hover text cat2,Hover text cat 3,Hover text cat 4,Hover text cat 5,Hover text cat 6
Ecotone;2327352;2019;Sc. 1 & 2 - Own emissions,Sc.3 - Suppliers,Sc.3 - Logistics,Sc.3 - Packaging,Sc.3 - Use of product,Others;0.05,0.4,0.15,0.1,0.25,0.05;Hover text cat 1,Hover text cat2,Hover text cat 3,Hover text cat 4,Hover text cat 5,Hover text cat 6
Ferrero;2327352;2019;Sc. 1 & 2 - Own emissions,Sc.3 - Suppliers,Sc.3 - Logistics,Sc.3 - Packaging,Sc.3 - Use of product,Others;0.05,0.4,0.15,0.1,0.25,0.05;Hover text cat 1,Hover text cat2,Hover text cat 3,Hover text cat 4,Hover text cat 5,Hover text cat 6
General Mills;2327352;2019;Sc. 1 & 2 - Own emissions,Sc.3 - Suppliers,Sc.3 - Logistics,Sc.3 - Packaging,Sc.3 - Use of product,Others;0.05,0.4,0.15,0.1,0.25,0.05;Hover text cat 1,Hover text cat2,Hover text cat 3,Hover text cat 4,Hover text cat 5,Hover text cat 6
Hero;2327352;2019;Sc. 1 & 2 - Own emissions,Sc.3 - Suppliers,Sc.3 - Logistics,Sc.3 - Packaging,Sc.3 - Use of product,Others;0.05,0.4,0.15,0.1,0.25,0.05;Hover text cat 1,Hover text cat2,Hover text cat 3,Hover text cat 4,Hover text cat 5,Hover text cat 6
Kellogg;2327352;2019;Sc. 1 & 2 - Own emissions,Sc.3 - Suppliers,Sc.3 - Logistics,Sc.3 - Packaging,Sc.3 - Use of product,Others;0.05,0.4,0.15,0.1,0.25,0.05;Hover text cat 1,Hover text cat2,Hover text cat 3,Hover text cat 4,Hover text cat 5,Hover text cat 6
Mars;2327352;2019;Sc. 1 & 2 - Own emissions,Sc.3 - Suppliers,Sc.3 - Logistics,Sc.3 - Packaging,Sc.3 - Use of product,Others;0.05,0.4,0.15,0.1,0.25,0.05;Hover text cat 1,Hover text cat2,Hover text cat 3,Hover text cat 4,Hover text cat 5,Hover text cat 6
Mondelez;2327352;2019;Sc. 1 & 2 - Own emissions,Sc.3 - Suppliers,Sc.3 - Logistics,Sc.3 - Packaging,Sc.3 - Use of product,Others;0.05,0.4,0.15,0.1,0.25,0.05;Hover text cat 1,Hover text cat2,Hover text cat 3,Hover text cat 4,Hover text cat 5,Hover text cat 6
Nestlé;2327352;2019;Sc. 1 & 2 - Own emissions,Sc.3 - Suppliers,Sc.3 - Logistics,Sc.3 - Packaging,Sc.3 - Use of product,Others;0.05,0.4,0.15,0.1,0.25,0.05;Hover text cat 1,Hover text cat2,Hover text cat 3,Hover text cat 4,Hover text cat 5,Hover text cat 6
Pepsico;2327352;2019;Sc. 1 & 2 - Own emissions,Sc.3 - Suppliers,Sc.3 - Logistics,Sc.3 - Packaging,Sc.3 - Use of product,Others;0.05,0.4,0.15,0.1,0.25,0.05;Hover text cat 1,Hover text cat2,Hover text cat 3,Hover text cat 4,Hover text cat 5,Hover text cat 6
Henkel;2327352;2019;Sc. 1 & 2 - Own emissions,Sc.3 - Suppliers,Sc.3 - Logistics,Sc.3 - Packaging,Sc.3 - Use of product,Others;0.05,0.4,0.15,0.1,0.25,0.05;Hover text cat 1,Hover text cat2,Hover text cat 3,Hover text cat 4,Hover text cat 5,Hover text cat 6
P&G;2327352;2019;Sc. 1 & 2 - Own emissions,Sc.3 - Suppliers,Sc.3 - Logistics,Sc.3 - Packaging,Sc.3 - Use of product,Others;0.05,0.4,0.15,0.1,0.25,0.05;Hover text cat 1,Hover text cat2,Hover text cat 3,Hover text cat 4,Hover text cat 5,Hover text cat 6
Unilever;2327352;2019;Sc. 1 & 2 - Own emissions,Sc.3 - Suppliers,Sc.3 - Logistics,Sc.3 - Packaging,Sc.3 - Use of product,Others;0.05,0.4,0.15,0.1,0.25,0.05;Hover text cat 1,Hover text cat2,Hover text cat 3,Hover text cat 4,Hover text cat 5,Hover text cat 6
Colgate-Palmolive;2327352;2019;Sc. 1 & 2 - Own emissions,Sc.3 - Suppliers,Sc.3 - Logistics,Sc.3 - Packaging,Sc.3 - Use of product,Others;0.05,0.4,0.15,0.1,0.25,0.05;Hover text cat 1,Hover text cat2,Hover text cat 3,Hover text cat 4,Hover text cat 5,Hover text cat 6
Coty;2327352;2019;Sc. 1 & 2 - Own emissions,Sc.3 - Suppliers,Sc.3 - Logistics,Sc.3 - Packaging,Sc.3 - Use of product,Others;0.05,0.4,0.15,0.1,0.25,0.05;Hover text cat 1,Hover text cat2,Hover text cat 3,Hover text cat 4,Hover text cat 5,Hover text cat 6
L'Oréal;2327352;2019;Sc. 1 & 2 - Own emissions,Sc.3 - Suppliers,Sc.3 - Logistics,Sc.3 - Packaging,Sc.3 - Use of product,Others;0.05,0.4,0.15,0.1,0.25,0.05;Hover text cat 1,Hover text cat2,Hover text cat 3,Hover text cat 4,Hover text cat 5,Hover text cat 6
Shiseido;2327352;2019;Sc. 1 & 2 - Own emissions,Sc.3 - Suppliers,Sc.3 - Logistics,Sc.3 - Packaging,Sc.3 - Use of product,Others;0.05,0.4,0.15,0.1,0.25,0.05;Hover text cat 1,Hover text cat2,Hover text cat 3,Hover text cat 4,Hover text cat 5,Hover text cat 6
