company_name,global_score,direct_score,complete_score,comment,global_score_hexa_color_code,global_score_short_label,direct_score_hexa_color_code,direct_score_short_label,complete_score_hexa_color_code,complete_score_short_label,global_score_logo_path
Andros,1,1,1,Un culte du secret incompatible avec les enjeux environnementaux de notre siècle. Remplir les obligations légales de publications des émissions au niveau industriel ne suffit pas à apporter de la transparence aux citoyens.,#820000,Non divulguée,#820000,Non publiée,#820000,Non publiée,../assets/Pics/1_not_released_reduction.png
Associated British Foods (alim.),3,5,1,Seuls ~10% de son empreinte carbone complète sont mesurés et suivis. Bien trop insuffisant pour un groupe de cette taille.,#FF8939,Insuffisante,#8CDF41,Bien moins de 2°C,#820000,Non publiée,../assets/Pics/3_unsatisfactory_reduction.png
S. C. Johnson,3,5,1,"Groupe familiale, mais qui réalise 9 Mrd de C.A.. Par rapport aux groupes comparables du secteur, on constate : 1) émissions de sa chaine de valeur non mesurées, 2) reporting carbone non aligné sur les standards internationaux, 3) pas d'objectifs de réduction fixés pour être compatible 2°C.",#FF8939,Insuffisante,#8CDF41,Bien moins de 2°C,#820000,Non publiée,../assets/Pics/3_unsatisfactory_reduction.png
Hero,4,3,1,Réduction significative de ses émissions propres. Suivi de son empreinte carbone à aligner sur les bonnes pratiques du reporting carbone. Tolérance 'petit groupe' appliquée (c.a.d. <1 Mrd € de C.A.). ,#FEC800,Partielle,#FF8939,Entre +2°C et +3°C,#820000,Non publiée,../assets/Pics/4_partial_reduction.png
Ecotone,5,6,1,Très forte réduction de ses émissions propres. En train de renforcer sa maitrise des émissions de sa chaine de valeur (chantiers en cours : mesure avec Quantis et engagement de réduction avec SBT). Tolérance 'petit groupe' appliquée (c.a.d. <1 Mrd € de C.A.).,#8CDF41,Forte,#0DB800,"1,5°C",#820000,Non publiée,../assets/Pics/5_strong_reduction.png
Mondelez,3,5,99,"Maitrise de son empreinte carbone pas encore éprouvée, après une mesure seulement récente de son empreinte carbone complète. Sur son périmètre direct : réduction forte mais encore renforçable par rapport aux groupes alimentaires de sa taille.",#FF8939,Insuffisante,#8CDF41,Bien moins de 2°C,#C00000,n.a. (trop récente),../assets/Pics/3_unsatisfactory_reduction.png
Shiseido,3,5,99,"Entreprise qui arrive à concilier croissance et forte réduction de ses émissions directes. Néanmoins, une plus grande maitrise de sa chaine de valeur est attendu d'un groupe de cette taille (7 Mrd de C.A.) : mesure seulement récente et toujours pas d'objectif de réduction fixé.",#FF8939,Insuffisante,#8CDF41,Bien moins de 2°C,#C00000,n.a. (trop récente),../assets/Pics/3_unsatisfactory_reduction.png
P&G,4,6,99,"Maitrise de son empreinte carbone pas encore éprouvée, après une mesure seulement récente de son empreinte carbone complète. Sur son périmètre direct : réduction très forte même si encore renforçable par rapport aux meilleures pratiques du secteur.",#FEC800,Partielle,#0DB800,"1,5°C",#C00000,n.a. (trop récente),../assets/Pics/4_partial_reduction.png
Beiersdorf,4,6,99,"Accélération très forte ces 5 dernières années, avec une très forte réduction des émissions de son périmètre direct (supérieure à 10% par an - notamment suite au passage en 100% renouvelable), et avec la mesure complète de sa chaine de valeur. Accélération à confirmer dans les prochains reportings.",#FEC800,Partielle,#0DB800,"1,5°C",#C00000,n.a. (trop récente),../assets/Pics/4_partial_reduction.png
Henkel,3,3,3,"Malgré des chiffres de réduction encore trop faibles pour cette entreprise en croissance, l'analyse année après année a montré une accélération des efforts qui devrait se traduire par une forte réduction dès le prochain reporting.",#FF8939,Insuffisante,#FF8939,Entre +2°C et +3°C,#FF8939,Entre +2°C et +3°C,../assets/Pics/3_unsatisfactory_reduction.png
Kellogg,4,6,3,"Accélération des efforts à partir de 2015, avec une très forte réduction sur son périmètre direct, mais une empreinte carbone complète à réduire plus fortement, et à suivre dans son entièreté (vs. 65% aujourd'hui).",#FEC800,Partielle,#0DB800,"1,5°C",#FF8939,Entre +2°C et +3°C,../assets/Pics/4_partial_reduction.png
Mars,4,6,3,"Accélération des efforts à partir de 2015, avec une très forte réduction sur son périmètre direct, mais une empreinte carbone complète sensiblement toujours aussi élevée. Des engagements forts en ce sens pour 2025. A suivre, donc.",#FEC800,Partielle,#0DB800,"1,5°C",#FF8939,Entre +2°C et +3°C,../assets/Pics/4_partial_reduction.png
Nestlé,4,6,3,"Accélération des efforts depuis 2014, avec une très forte réduction sur son périmètre direct. A confirmer en réduisant encore davantage son empreinte carbone complète.",#FEC800,Partielle,#0DB800,"1,5°C",#FF8939,Entre +2°C et +3°C,../assets/Pics/4_partial_reduction.png
Pepsico,4,6,3,"Comme il l'a fait en 2020 sur son périmètre direct (-15% vs. 2019, grâce à un passage au 100% renouvelable), le groupe doit aussi accélérer la réduction de son empreinte carbone complète.",#FEC800,Partielle,#0DB800,"1,5°C",#FF8939,Entre +2°C et +3°C,../assets/Pics/4_partial_reduction.png
Reckitt,4,6,3,"Accélération en cours sur les émissions de sa chaine de valeur.Très forte réduction de ses émissions propres, bien qu'encore améliorable en comparaison des groupes comparables.",#FEC800,Partielle,#0DB800,"1,5°C",#FF8939,Entre +2°C et +3°C,../assets/Pics/4_partial_reduction.png
Johnson & Johnson,4,6,3,"Réduction des émissions de sa chaine de valeur à fortement accélérer, pour compléter la très forte réduction sur son périmètre direct.",#FEC800,Partielle,#0DB800,"1,5°C",#FF8939,Entre +2°C et +3°C,../assets/Pics/4_partial_reduction.png
Unilever,5,6,3,"Très forte réduction de ses émissions propres (supérieure à 10% par an !), combinée à une réduction de son empreinte carbone complète qui s'accélère depuis 2018.",#8CDF41,Forte,#0DB800,"1,5°C",#FF8939,Entre +2°C et +3°C,../assets/Pics/5_strong_reduction.png
Coty,5,6,3,"Impressionnante réduction sur son périmètre direct (supérieure à 10% par an!). Néanmoins, des réductions attendues sur le reste de sa chaine de valeur après une mise en route et un suivi précis seulement récents.",#8CDF41,Forte,#0DB800,"1,5°C",#FF8939,Entre +2°C et +3°C,../assets/Pics/5_strong_reduction.png
L'Oréal,5,6,3,"Très forte réduction de ses émissions propres (supérieure à 10% par an !), combinée à une accélération en cours sur les émissions de sa chaine de valeur.",#8CDF41,Forte,#0DB800,"1,5°C",#FF8939,Entre +2°C et +3°C,../assets/Pics/5_strong_reduction.png
Bel,4,3,5,"Réduction encore partielle, malgré une forte réduction des émissions de sa chaine de valeur depuis 2017. A poursuivre et à combiner avec une plus forte réduction de ses propres émissions, pour se hisser au niveau des meilleures pratiques sectorielles.",#FEC800,Partielle,#FF8939,Entre +2°C et +3°C,#8CDF41,Bien moins de 2°C,../assets/Pics/4_partial_reduction.png
Danone,6,6,5,Très fortes réductions de toutes ses émissions. Action actuelle compatible avec un réchauffement 'bien en-deçà de 2°C'.,#0DB800,Très forte,#0DB800,"1,5°C",#8CDF41,Bien moins de 2°C,../assets/Pics/6_very_strong_reduction.png
GSK,6,6,6,"Très forte réduction de ses émissions sur son périmètre direct et sur sa chaine de valeur. Encore améliorable sur son périmètre direct, en comparaison des groupes comparables.",#0DB800,Très forte,#0DB800,"1,5°C",#0DB800,"1,5°C",../assets/Pics/6_very_strong_reduction.png
