,Company Name,ISIN,Near term - Target Status,Near term - Target Classification,Near term - Target Year,Long term - Target Status,Long term - Target Classification,Long term - Target Year,Net-Zero Committed,Net-Zero Year,Organization Type,BA1.5?,BA1.5 Date,Country,Region,Sector,Date,Target,Target Classification,Extension,scope,reduction_percentage,target_year,base_year,perimeter
0,(ACIP) Alexandria Company for Industrial Packages,,Targets Set,Well-below 2°C,2030,,,,No,,Small or Medium Enterprise,No,,Egypt,Africa,Containers and Packaging,01/02/2022,"This target was approved using a streamlined target validation route exclusive to small and medium-sized enterprises (SMEs). https://sciencebasedtargets.org/faqs-for-smes/ (ACIP) Alexandria Company for Industrial Packages commits to reduce scope 1 and scope 2 GHG emissions 25% by 2030 from a 2020 base year, and to measure and reduce its scope 3 emissions.",The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to Well-below 2°C.,,1,25%,2030,2020,GHG emissions
1,(ACIP) Alexandria Company for Industrial Packages,,Targets Set,Well-below 2°C,2030,,,,No,,Small or Medium Enterprise,No,,Egypt,Africa,Containers and Packaging,01/02/2022,"This target was approved using a streamlined target validation route exclusive to small and medium-sized enterprises (SMEs). https://sciencebasedtargets.org/faqs-for-smes/ (ACIP) Alexandria Company for Industrial Packages commits to reduce scope 1 and scope 2 GHG emissions 25% by 2030 from a 2020 base year, and to measure and reduce its scope 3 emissions.",The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to Well-below 2°C.,,2,25%,2030,2020,GHG emissions
2,AM Værktøj Odense A/S,,Targets Set,1.5°C,2030,,,,No,,Small or Medium Enterprise,No,,Denmark,Europe,Technology Hardware and Equipment,01/02/2022,"This target was approved using a streamlined target validation route exclusive to small and medium-sized enterprises (SMEs). https://sciencebasedtargets.org/faqs-for-smes/ AM Værktøj Odense A/S commits to reduce scope 1 and scope 2 GHG emissions 50% by 2030 from a 2018 base year, and to measure and reduce its scope 3 emissions.",The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 1.5°C.,,1,50%,2030,2018,GHG emissions
3,AM Værktøj Odense A/S,,Targets Set,1.5°C,2030,,,,No,,Small or Medium Enterprise,No,,Denmark,Europe,Technology Hardware and Equipment,01/02/2022,"This target was approved using a streamlined target validation route exclusive to small and medium-sized enterprises (SMEs). https://sciencebasedtargets.org/faqs-for-smes/ AM Værktøj Odense A/S commits to reduce scope 1 and scope 2 GHG emissions 50% by 2030 from a 2018 base year, and to measure and reduce its scope 3 emissions.",The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 1.5°C.,,2,50%,2030,2018,GHG emissions
4,Julie Sandlau Vietnam. ltd,,Targets Set,1.5°C,2030,,,,No,,Small or Medium Enterprise,No,,Vietnam,Asia,"Textiles, Apparel, Footwear and Luxury Goods",01/02/2022,"This target was approved using a streamlined target validation route exclusive to small and medium-sized enterprises (SMEs). https://sciencebasedtargets.org/faqs-for-smes/ Julie Sandlau Vietnam. ltd commits to reduce scope 1 and scope 2 GHG emissions 42% by 2030 from a 2020 base year, and to measure and reduce its scope 3 emissions.",The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 1.5°C.,,1,42%,2030,2020,GHG emissions
5,Julie Sandlau Vietnam. ltd,,Targets Set,1.5°C,2030,,,,No,,Small or Medium Enterprise,No,,Vietnam,Asia,"Textiles, Apparel, Footwear and Luxury Goods",01/02/2022,"This target was approved using a streamlined target validation route exclusive to small and medium-sized enterprises (SMEs). https://sciencebasedtargets.org/faqs-for-smes/ Julie Sandlau Vietnam. ltd commits to reduce scope 1 and scope 2 GHG emissions 42% by 2030 from a 2020 base year, and to measure and reduce its scope 3 emissions.",The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 1.5°C.,,2,42%,2030,2020,GHG emissions
6,Kartikeya International,,Targets Set,1.5°C,2030,,,,No,,Small or Medium Enterprise,No,,India,Asia,"Textiles, Apparel, Footwear and Luxury Goods",01/02/2022,"This target was approved using a streamlined target validation route exclusive to small and medium-sized enterprises (SMEs). https://sciencebasedtargets.org/faqs-for-smes/ Kartikeya International commits to reduce scope 1 and scope 2 GHG emissions 50% by 2030 from a 2018 base year, and to measure and reduce its scope 3 emissions.",The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 1.5°C.,,1,50%,2030,2018,GHG emissions
7,Kartikeya International,,Targets Set,1.5°C,2030,,,,No,,Small or Medium Enterprise,No,,India,Asia,"Textiles, Apparel, Footwear and Luxury Goods",01/02/2022,"This target was approved using a streamlined target validation route exclusive to small and medium-sized enterprises (SMEs). https://sciencebasedtargets.org/faqs-for-smes/ Kartikeya International commits to reduce scope 1 and scope 2 GHG emissions 50% by 2030 from a 2018 base year, and to measure and reduce its scope 3 emissions.",The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 1.5°C.,,2,50%,2030,2018,GHG emissions
8,PlanA.Earth GmbH,,Targets Set,1.5°C,2030,,,,No,,Small or Medium Enterprise,No,,Germany,Europe,Software and Services,01/02/2022,"This target was approved using a streamlined target validation route exclusive to small and medium-sized enterprises (SMEs). https://sciencebasedtargets.org/faqs-for-smes/ PlanA.Earth GmbH commits to reduce scope 1 and scope 2 GHG emissions 42% by 2030 from a 2020 base year, and to measure and reduce its scope 3 emissions.",The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 1.5°C.,,1,42%,2030,2020,GHG emissions
9,PlanA.Earth GmbH,,Targets Set,1.5°C,2030,,,,No,,Small or Medium Enterprise,No,,Germany,Europe,Software and Services,01/02/2022,"This target was approved using a streamlined target validation route exclusive to small and medium-sized enterprises (SMEs). https://sciencebasedtargets.org/faqs-for-smes/ PlanA.Earth GmbH commits to reduce scope 1 and scope 2 GHG emissions 42% by 2030 from a 2020 base year, and to measure and reduce its scope 3 emissions.",The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 1.5°C.,,2,42%,2030,2020,GHG emissions
